newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2021-04-02 09:23:43,5,11,0,11,0,BTC,11,11,2021,4,2
2021-04-02 18:35:00,3,8,1,9,1,BTC,8,7,2021,4,2
2021-04-02 19:06:31,4,11,1,16,4,BTC,12,10,2021,4,2
2021-04-02 19:14:20,7,8,1,19,1,BTC,18,7,2021,4,2
2021-04-03 10:18:08,3,8,0,5,1,BTC,4,8,2021,4,2
2021-04-05 08:25:20,5,12,0,25,1,BTC,24,12,2021,4,2
2021-04-05 21:40:00,3,4,1,5,1,BTC,4,3,2021,4,2
2021-04-06 00:58:15,3,5,1,3,1,BTC,2,4,2021,4,2
2021-04-06 07:24:06,4,2,1,1,1,BTC,0,1,2021,4,2
2021-04-06 14:30:12,5,5,1,6,2,BTC,4,4,2021,4,2
2021-04-06 20:00:37,3,4,1,6,2,BTC,4,3,2021,4,2
2021-04-06 20:56:54,3,5,0,4,0,BTC,4,5,2021,4,2
2021-04-07 04:35:27,4,8,1,7,1,BTC,6,7,2021,4,2
2021-04-07 09:03:00,5,7,2,9,2,BTC,7,5,2021,4,2
2021-04-07 09:39:32,3,5,2,3,2,BTC,1,3,2021,4,2
2021-04-07 20:52:15,7,13,3,11,1,BTC,10,10,2021,4,2
2021-04-08 10:22:00,15,23,2,39,2,BTC,37,21,2021,4,2
2021-04-08 13:56:42,6,10,9,16,17,BTC,-1,1,2021,4,2
2021-04-08 14:02:39,10,13,0,22,0,BTC,22,13,2021,4,2
2021-04-08 14:30:56,3,4,2,5,1,BTC,4,2,2021,4,2
2021-04-08 15:46:11,16,29,0,35,1,BTC,34,29,2021,4,2
2021-04-08 16:30:15,6,8,0,10,0,BTC,10,8,2021,4,2
2021-04-08 17:30:05,3,9,3,12,3,BTC,9,6,2021,4,2
2021-04-08 18:45:08,14,25,1,39,0,BTC,39,24,2021,4,2
2021-04-09 11:31:48,18,26,3,38,0,BTC,38,23,2021,4,2
2021-04-09 13:12:28,3,1,2,0,3,BTC,-3,-1,2021,4,2
2021-04-09 14:33:29,23,33,2,43,4,BTC,39,31,2021,4,2
2021-04-09 18:15:49,16,22,2,27,2,BTC,25,20,2021,4,2
2021-04-10 06:57:05,12,17,0,24,0,BTC,24,17,2021,4,2
2021-04-10 20:23:33,9,18,4,19,4,BTC,15,14,2021,4,2
2021-04-12 13:07:39,3,5,1,5,1,BTC,4,4,2021,4,2
2021-04-12 17:30:53,3,6,0,7,0,BTC,7,6,2021,4,2
2021-04-12 18:35:08,6,12,1,3,11,BTC,-8,11,2021,4,2
2021-04-12 20:44:48,4,8,1,5,0,BTC,5,7,2021,4,2
2021-04-12 21:21:36,14,17,0,19,0,BTC,19,17,2021,4,2
2021-04-13 09:28:38,3,2,1,2,1,BTC,1,1,2021,4,2
2021-04-13 11:23:35,14,15,0,26,0,BTC,26,15,2021,4,2
2021-04-14 05:27:00,7,17,0,27,1,BTC,26,17,2021,4,2
2021-04-14 21:12:59,3,2,0,5,0,BTC,5,2,2021,4,2
2021-04-15 16:30:01,6,7,45,12,15,BTC,-3,-38,2021,4,2
2021-04-15 16:47:46,3,6,1,5,1,BTC,4,5,2021,4,2
2021-04-15 21:14:16,14,28,7,42,5,BTC,37,21,2021,4,2
2021-04-16 07:26:11,3,10,14,10,17,BTC,-7,-4,2021,4,2
2021-04-16 11:52:29,16,7,37,8,21,BTC,-13,-30,2021,4,2
2021-04-16 15:11:23,3,10,18,11,24,BTC,-13,-8,2021,4,2
2021-04-17 09:53:09,9,18,12,19,11,BTC,8,6,2021,4,2
2021-04-17 16:02:36,8,13,2,23,3,BTC,20,11,2021,4,2
2021-04-17 20:00:52,7,12,45,10,36,BTC,-26,-33,2021,4,2
2021-04-18 07:04:32,4,6,1,8,0,BTC,8,5,2021,4,2
2021-04-18 07:29:21,6,13,9,17,4,BTC,13,4,2021,4,2
2021-04-18 09:54:27,3,1,1,3,3,BTC,0,0,2021,4,2
2021-04-18 14:56:29,6,8,6,0,16,BTC,-16,2,2021,4,2
2021-04-18 23:10:00,5,3,17,4,12,BTC,-8,-14,2021,4,2
2021-04-19 07:19:15,9,21,2,30,1,BTC,29,19,2021,4,2
2021-04-19 10:44:59,10,11,18,19,14,BTC,5,-7,2021,4,2
2021-04-19 12:00:58,5,17,14,23,20,BTC,3,3,2021,4,2
2021-04-19 15:11:05,11,20,1,26,2,BTC,24,19,2021,4,2
2021-04-19 15:46:56,5,18,8,24,9,BTC,15,10,2021,4,2
2021-04-19 17:38:11,6,14,0,18,0,BTC,18,14,2021,4,2
2021-04-19 20:00:49,4,16,7,10,17,BTC,-7,9,2021,4,2
2021-04-19 20:01:53,11,22,16,28,22,BTC,6,6,2021,4,2
2021-04-20 04:21:00,7,15,7,23,4,BTC,19,8,2021,4,2
2021-04-20 04:55:40,15,25,12,38,14,BTC,24,13,2021,4,2
2021-04-20 06:25:30,5,15,13,20,15,BTC,5,2,2021,4,2
2021-04-20 07:18:44,3,7,5,10,4,BTC,6,2,2021,4,2
2021-04-20 08:20:00,9,6,19,10,22,BTC,-12,-13,2021,4,2
2021-04-20 11:01:53,4,6,0,12,0,BTC,12,6,2021,4,2
2021-04-20 14:28:59,18,35,1,42,0,BTC,42,34,2021,4,2
2021-04-21 07:32:00,4,4,0,3,0,BTC,3,4,2021,4,2
2021-04-21 21:02:28,3,7,3,6,4,BTC,2,4,2021,4,2
2021-04-22 07:04:01,3,2,2,3,2,BTC,1,0,2021,4,2
2021-04-22 08:08:57,10,25,0,36,2,BTC,34,25,2021,4,2
2021-04-22 08:45:08,22,15,0,19,1,BTC,18,15,2021,4,2
2021-04-22 10:04:55,4,11,3,8,6,BTC,2,8,2021,4,2
2021-04-22 10:20:00,3,4,0,5,0,BTC,5,4,2021,4,2
2021-04-22 14:31:35,21,30,3,28,5,BTC,23,27,2021,4,2
2021-04-22 23:40:43,7,9,1,10,1,BTC,9,8,2021,4,2
2021-04-23 05:30:00,3,1,1,1,1,BTC,0,0,2021,4,2
2021-04-23 19:17:13,4,9,0,9,0,BTC,9,9,2021,4,2
2021-04-23 20:36:30,3,5,0,3,0,BTC,3,5,2021,4,2
2021-04-24 06:10:35,6,21,4,22,2,BTC,20,17,2021,4,2
2021-04-24 09:30:20,16,24,5,33,4,BTC,29,19,2021,4,2
2021-04-24 10:47:42,16,18,1,26,1,BTC,25,17,2021,4,2
